nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-31 18:30:00",210,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-31 23:40:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-31 23:40:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-31 23:40:00",5760,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-31 23:02:41",400,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-03-31 23:40:00",230,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-03-31 23:40:00",4200,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-31 22:54:09",1750,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-31 22:59:57",1770,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-03-31 23:40:00",-1970,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-31 23:03:24",550,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-03-31 23:40:00",1030,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-03-31 23:40:00",410,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-31 20:06:49",800,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-31 20:20:00",4580,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-03-31 23:40:00",490,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-31 22:59:46",1200,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-03-31 23:40:00",1840,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-03-31 22:59:29",2700,"Status : Siaga 3"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-03-31 23:40:00",1480,"Status : Siaga 3"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-03-31 23:40:00",1650,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-03-31 18:20:00",1790,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-03-31 18:30:00",210,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-04-01 00:10:00",110,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-04-01 00:10:00",600,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-04-01 00:10:00",5780,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-31 23:02:41",400,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-04-01 00:10:00",240,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-04-01 00:10:00",4090,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-03-31 22:54:09",1750,"Status : Siaga 3"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-03-31 22:59:57",1770,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-04-01 00:10:00",-1960,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-03-31 23:03:24",550,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-04-01 00:10:00",1010,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-04-01 00:10:00",410,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-03-31 20:06:49",800,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-03-31 20:20:00",4580,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-04-01 00:10:00",490,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-31 22:59:46",1200,"Status : Normal"
