tanggal,waktu,nama_pintu_air,lokasi,latitude,longitude,tinggi_air,status_siaga
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-31,11:40:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,250,Status : Normal
2019-01-31,11:40:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,1370,Status : Normal
2019-01-31,11:40:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,6270,Status : Normal
2019-01-31,11:40:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,450,Status : Normal
2019-01-31,11:40:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,330,Status : Normal
2019-01-31,11:40:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,3010,Status : Normal
2019-01-31,11:30:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1580,Status : Normal
2019-01-31,11:40:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1540,Status : Normal
2019-01-31,11:40:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-1970,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-31,11:40:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,710,Status : Normal
2019-01-31,11:40:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,220,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-31,11:40:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3340,Status : Normal
2019-01-31,11:40:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,300,Status : Normal
2019-01-31,11:40:00PM,PS. Cipinang Hulu,Cipinang Hulu,-6.374264,106.883862,1170,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,11:40:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1930,Status : Normal
2019-01-31,11:40:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-01-31,11:40:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1390,Status : Siaga 3
2019-01-31,11:40:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-01-31,11:40:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1580,Status : Siaga 3
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-31,11:50:00PM,PS. Katulampa (Hulu),Ciliwung,-6.633167,106.836806,240,Status : Normal
2019-01-31,11:50:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,1350,Status : Normal
2019-01-31,11:50:00PM,PA. Manggarai,Ciliwung,-6.207825,106.848458,6280,Status : Normal
2019-01-31,11:50:00PM,PS. Krukut Hulu,Krukut,-6.3439,106.798874,450,Status : Normal
2019-01-31,11:50:00PM,Pompa Cideng,Krukut,-6.173271,106.806351,330,Status : Normal
2019-01-31,11:50:00PM,P.A. Karet,Banjir Kanal Barat,-6.197901,106.810075,3020,Status : Normal
2019-01-31,11:50:00PM,P.A. Marina Ancol ,Laut,-6.125585,106.830154,1580,Status : Normal
2019-01-31,11:50:00PM,Pompa Pasar Ikan,Laut,-6.126132,106.809783,1550,Status : Normal
2019-01-31,11:50:00PM,P.A. Pluit,Waduk Pluit,-6.109076031,106.796649,-1980,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-31,11:50:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,710,Status : Normal
2019-01-31,11:40:00PM,Pompa Tanjungan,Tanjungan,-6.106601,106.725045,220,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-31,11:50:00PM,PA. Pulo Gadung,Sunter,-6.191,106.904194,3340,Status : Normal
2019-01-31,11:50:00PM,Pompa Yos Sudarso 1,Sunter Timur,-6.155547,106.885975,300,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,11:50:00PM,Pompa Kali Duri (Kalijodo),Kali Duri,-6.14232,106.79039,1930,Status : Normal
2019-01-31,11:50:00PM,P.A. Istiqlal  ,Ciliwung,-6.168254,106.83135,1900,Status : Normal
2019-01-31,11:50:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1400,Status : Siaga 3
2019-01-31,11:50:00PM,P.A. Ancol Flusing,Ciliwung,-6.129859,106.831254,1180,Status : Normal
2019-01-31,11:40:00PM,P.A. Hek,Kali Baru Timur,-6.287305,106.87063,1580,Status : Siaga 3
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-31,11:50:00PM,PS. Depok,Ciliwung,-6.40042,106.831524,1350,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-31,11:50:00PM,PS. Angke Hulu,Angke,-6.220047,106.694137,710,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,11:50:00PM,P.A. Jembatan Merah,Ciliwung,-6.149068,106.834214,1400,Status : Siaga 3
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
2019-01-25,10:50:00PM,PS. Pesanggrahan,Pesanggrahan,-6.400528,106.831944,600,Status : Normal
2019-01-30,4:00:00PM,PS. Sunter Hulu,Sunter,,,550,Status : Normal
2019-01-24,2:50:00PM,PS. Marunda (Laut),Banjir Kanal Timur,-6.108719,106.969067,3500,Status : Normal
2019-01-31,2:30:00PM,PS. Cibogo,Ciliwung,-6.657083,106.878083,110,Status : Normal
