nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-02-28 23:40:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-02-28 23:40:00",1220,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-02-28 23:40:00",6730,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-02-28 23:40:00",700,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-02-28 09:50:00",140,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-02-27 16:40:00",1630,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-02-28 23:40:00",1790,"Status : Siaga 3"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-02-27 14:40:00",-1880,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-02-28 23:40:00",1180,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-02-28 23:40:00",350,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-02-28 23:40:00",490,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-02-28 23:40:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-02-28 23:40:00",380,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-02-28 23:50:00",1090,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-02-28 23:40:00",1980,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-02-28 23:40:00",1580,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-02-27 17:00:00",1610,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-02-28 23:40:00",2110,"Status : Siaga 2"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-02-28 23:50:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-02-28 23:50:00",1220,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-02-28 23:50:00",6730,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-02-28 23:50:00",720,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-02-28 09:50:00",140,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-02-28 10:30:00",3020,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-02-27 16:40:00",1630,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-02-28 23:50:00",1680,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.10907603055,106.796648987,"2019-02-27 14:40:00",-1880,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.400528,106.831944,"2019-02-28 23:50:00",1190,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-02-28 23:50:00",360,"Status : Normal"
"Pompa Tanjungan",Tanjungan,-6.106601,106.725045,"2019-02-28 23:50:00",180,"Status : Normal"
"PS. Sunter Hulu",Sunter,,,"2019-02-28 11:50:00",750,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-02-28 23:50:00",3310,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-02-28 23:50:00",390,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-03-01 00:00:00",1090,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-02-28 23:50:00",1970,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-02-28 19:10:00",1900,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-02-28 23:50:00",1590,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-02-27 17:00:00",1610,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-02-28 23:50:00",1970,"Status : Siaga 3"
"PS. Cibogo",Ciliwung,-6.657083,106.878083,"2019-02-28 18:50:00",190,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-03-01 00:00:00",200,"Status : Normal"
"PS. Depok",Ciliwung,-6.400420,106.831524,"2019-03-01 00:00:00",1210,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-03-01 00:00:00",5830,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-03-01 00:00:00",720,"Status : Normal"
